engine,n_policies,run,sample_ms
kyverno,10,1,12.136
kyverno,10,1,11.564
kyverno,10,1,11.797
kyverno,10,1,12.763
kyverno,10,1,11.294
kyverno,10,1,11.743
kyverno,10,1,12.121
kyverno,10,1,11.869
kyverno,10,1,12.318
kyverno,10,1,11.116
kyverno,10,1,11.080
kyverno,10,1,11.772
kyverno,10,1,12.561
kyverno,10,1,11.787
kyverno,10,1,11.099
kyverno,10,1,61.545
kyverno,10,1,11.233
kyverno,10,1,14.029
kyverno,10,1,15.695
kyverno,10,1,14.518
kyverno,10,1,13.883
kyverno,10,1,14.168
kyverno,10,1,75.158
kyverno,10,1,12.236
kyverno,10,1,12.266
kyverno,10,1,77.640
kyverno,10,1,10.612
kyverno,10,1,11.206
kyverno,10,1,10.676
kyverno,10,1,81.188
kyverno,10,1,13.376
kyverno,10,1,14.966
kyverno,10,1,15.332
kyverno,10,1,83.901
kyverno,10,1,12.247
kyverno,10,1,12.106
kyverno,10,1,13.633
kyverno,10,1,14.554
kyverno,10,1,15.349
kyverno,10,1,13.138
kyverno,10,1,14.702
kyverno,10,1,13.456
kyverno,10,1,14.134
kyverno,10,1,15.757
kyverno,10,1,13.742
kyverno,10,1,18.321
kyverno,10,1,15.862
kyverno,10,1,13.431
kyverno,10,1,13.793
kyverno,10,1,15.632
kyverno,10,1,18.787
kyverno,10,1,83.768
kyverno,10,1,12.185
kyverno,10,1,13.271
kyverno,10,1,14.085
kyverno,10,1,13.498
kyverno,15,1,14.950
kyverno,15,1,12.201
kyverno,15,1,11.495
kyverno,15,1,12.007
kyverno,15,1,12.058
kyverno,15,1,12.244
kyverno,15,1,13.279
kyverno,15,1,75.446
kyverno,15,1,12.378
kyverno,15,1,11.784
kyverno,15,1,12.650
kyverno,15,1,87.088
kyverno,15,1,12.373
kyverno,15,1,13.100
kyverno,15,1,13.586
kyverno,15,1,12.777
kyverno,15,1,13.015
kyverno,15,1,12.758
kyverno,15,1,12.912
kyverno,15,1,14.477
kyverno,15,1,12.515
kyverno,15,1,12.302
kyverno,15,1,13.596
kyverno,15,1,13.336
kyverno,15,1,12.947
kyverno,15,1,13.838
kyverno,15,1,13.090
kyverno,15,1,11.991
kyverno,15,1,12.645
kyverno,15,1,12.117
kyverno,15,1,11.406
kyverno,15,1,16.320
kyverno,15,1,12.739
kyverno,15,1,13.716
kyverno,15,1,14.618
kyverno,15,1,14.633
kyverno,15,1,13.554
kyverno,15,1,12.094
kyverno,15,1,12.573
kyverno,15,1,13.658
kyverno,15,1,13.723
kyverno,15,1,11.947
kyverno,15,1,12.576
kyverno,15,1,12.991
kyverno,15,1,14.476
kyverno,15,1,12.212
kyverno,15,1,11.821
kyverno,15,1,15.533
kyverno,15,1,16.703
kyverno,15,1,31.307
kyverno,15,1,16.406
kyverno,15,1,14.288
kyverno,15,1,12.513
kyverno,15,1,12.745
kyverno,15,1,12.726
kyverno,15,1,13.577
kyverno,15,1,12.272
kyverno,15,1,12.520
kyverno,15,1,12.142
kyverno,15,1,11.942
kyverno,15,1,12.528
kyverno,15,1,11.874
kyverno,15,1,12.541
kyverno,15,1,11.421
kyverno,15,1,12.423
kyverno,15,1,12.464
kyverno,15,1,13.511
kyverno,15,1,13.445
kyverno,15,1,11.697
kyverno,15,1,11.526
kyverno,15,1,11.833
kyverno,15,1,11.739
kyverno,15,1,15.279
kyverno,15,1,13.992
kyverno,15,1,12.353
kyverno,15,1,12.623
kyverno,15,1,12.912
kyverno,15,1,72.306
kyverno,15,1,14.648
kyverno,15,1,12.038
kyverno,15,1,12.484
kyverno,15,1,12.426
kyverno,15,1,12.484
kyverno,15,1,12.374
kyverno,15,1,12.093
kyverno,15,1,12.797
kyverno,15,1,13.475
kyverno,15,1,13.269
kyverno,15,1,13.271
kyverno,15,1,13.706
kyverno,15,1,13.070
kyverno,15,1,12.392
kyverno,15,1,12.818
kyverno,15,1,13.237
kyverno,15,1,14.415
kyverno,15,1,19.549
kyverno,15,1,15.773
kyverno,15,1,16.540
kyverno,15,1,16.470
kyverno,15,1,13.615
kyverno,15,2,12.924
kyverno,15,2,12.212
kyverno,15,2,11.943
kyverno,15,2,12.266
kyverno,15,2,11.614
kyverno,15,2,12.340
kyverno,15,2,12.527
kyverno,15,2,12.320
kyverno,15,2,12.690
kyverno,15,2,12.317
kyverno,15,2,13.268
kyverno,15,2,29.282
kyverno,15,2,12.518
kyverno,15,2,12.693
kyverno,15,2,12.226
kyverno,15,2,12.347
kyverno,15,2,13.430
kyverno,15,2,12.099
kyverno,15,2,12.657
kyverno,15,2,12.747
kyverno,15,2,14.732
kyverno,15,2,11.720
kyverno,15,2,12.441
kyverno,15,2,12.492
